1.000000000000000000e+04,2.000000000000000042e-03
1.000000000000000000e+04,3.935979342530860486e-03
1.000000000000000000e+04,7.745966692414831163e-03
1.000000000000000000e+04,1.524398244463843859e-02
1.000000000000000000e+04,2.999999999999999542e-02
1.995262314968878854e+04,2.000000000000000042e-03
1.995262314968878854e+04,3.935979342530860486e-03
1.995262314968878854e+04,7.745966692414831163e-03
1.995262314968878854e+04,1.524398244463843859e-02
1.995262314968878854e+04,2.999999999999999542e-02
3.981071705534969078e+04,2.000000000000000042e-03
3.981071705534969078e+04,3.935979342530860486e-03
3.981071705534969078e+04,7.745966692414831163e-03
3.981071705534969078e+04,1.524398244463843859e-02
3.981071705534969078e+04,2.999999999999999542e-02
7.943282347242820833e+04,2.000000000000000042e-03
7.943282347242820833e+04,3.935979342530860486e-03
7.943282347242820833e+04,7.745966692414831163e-03
7.943282347242820833e+04,1.524398244463843859e-02
7.943282347242820833e+04,2.999999999999999542e-02
1.584893192461114086e+05,2.000000000000000042e-03
1.584893192461114086e+05,3.935979342530860486e-03
1.584893192461114086e+05,7.745966692414831163e-03
1.584893192461114086e+05,1.524398244463843859e-02
1.584893192461114086e+05,2.999999999999999542e-02
